title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Jordan River Road to be Built","The Daily News"," 1927-12-08","","Settlement; Road","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500_th.jpg","http://localhost:4000/JRWA-Archive/objects/1927_nelsondaily_3_1_confirmation_of_jr_to_pr_road_to_be_built_500.pdf",/JRWA-Archive/items/jr-np-s_008.html
"Kelowna Beaten","The Daily News","1928-01-11","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1927_nelsondaily_jordan_river_quintet_bball_wins_th.jpg","http://localhost:4000/JRWA-Archive/objects/1927_nelsondaily_jordan_river_quintet_bball_wins.pdf",/JRWA-Archive/items/jr-np-s_009.html
"Vancouver Island","The Grand Forks Sun","1928-09-07","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair_th.jpg","http://localhost:4000/JRWA-Archive/objects/1928_grandforks_3_4_highway_report_sooke_to_jr_road_fair.pdf",/JRWA-Archive/items/jr-np-s_010.html
"Sandon Notes","The Daily News","1928-03-10","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1928_nelsondaily_7_3_jr_defeated_by_university_team_th.jpg","http://localhost:4000/JRWA-Archive/objects/1928_nelsondaily_7_3_jr_defeated_by_university_team.pdf",/JRWA-Archive/items/jr-np-s_011.html
"Butler&#39;s Shot Just Before Bell Wins for Varsity Team","The Daily News","1928-03-07","","Settlement","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1928_nelsondaily_7_5_jordan_river_island_winners_th.jpg","http://localhost:4000/JRWA-Archive/objects/1928_nelsondaily_7_5_jordan_river_island_winners.pdf",/JRWA-Archive/items/jr-np-s_012.html
"Plan Road Work as Relief Move","The Daily News","1933-10-06","","Settlement; Road","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway_th.jpg","http://localhost:4000/JRWA-Archive/objects/1933_nelsondaily_2_5_plan_to_extend_trail_from_jr_to_pr_underway.pdf",/JRWA-Archive/items/jr-np-s_013.html
"Main Highways","The Daily News","1936-06-30","","Settlement; Road","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program_th.jpg","http://localhost:4000/JRWA-Archive/objects/1936_nelsondaily_1_7_jr_to_victoria_part_of_the_big_road_tweaking_program.pdf",/JRWA-Archive/items/jr-np-s_014.html
"Little Rills and Water Numberles","Robert Connell","1936-05-31","","Settlement; Ecology","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/daily_colonist_1936_05_31_little_rills_and_waters_numberless_th.jpg","http://localhost:4000/JRWA-Archive/objects/daily_colonist_1936_05_31_little_rills_and_waters_numberless.pdf",/JRWA-Archive/items/jr-np-s_015.html
"Hotel for Sale","","1980","","Settlement; Real Estate","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/edmonton_journal_1980_12_29_59_hotel_for_sale_th.jpg","http://localhost:4000/JRWA-Archive/objects/edmonton_journal_1980_12_29_59_hotel_for_sale.jpg",/JRWA-Archive/items/jr-np-s_016.html
"Laying Pacific Cable","Nelson Daily Miner","1901","","Settlement; Cable","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6_th.jpg","http://localhost:4000/JRWA-Archive/objects/nelsondaymin_1901_longest_cable_in_the_word_pg1col5para6.pdf",/JRWA-Archive/items/jr-np-s_017.html
