title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Aerial Photo of Estuary with Lumber Mill","","","Black and White Aerial Photo of the estuary and Lumber Mill","Forestry; Mill; Coastline","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/sookejr_th.jpg","http://localhost:4000/JRWA-Archive/objects/sookejr.jpg",/JRWA-Archive/items/jrhp_001.html
"Cowichan Copper Mine","","1965","Black and White Photo of the copper mine","Mining; Copper","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/chowicancoppermine1965_th.jpg","http://localhost:4000/JRWA-Archive/objects/chowicancoppermine1965.jpg",/JRWA-Archive/items/jrhp_002.html
"Logging Operation at Jordan River","","","Black and White Photo of logging workers","Forestry; Workers","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/loggingopitem_th.jpg","http://localhost:4000/JRWA-Archive/objects/loggingopitem.png",/JRWA-Archive/items/jrhp_003.html
"Mine Waste Dump and Pond","","1974","Black and White Photo of the Sunro Mine and the River below","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1974minewastedumpandpond_th.jpg","http://localhost:4000/JRWA-Archive/objects/1974minewastedumpandpond.pdf",/JRWA-Archive/items/jrhp_004.html
"Mine Waste Dump and Pond","","1974","Black and White Photo of the Sunro Mine and the River below","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15115_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15115.pdf",/JRWA-Archive/items/jrhp_005.html
"Sundo Mine Entrance","","1958","Black and White Photo of the Sundo Mine Entrance","Mining; Copper; Sunro; Dumping","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15129_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15129.pdf",/JRWA-Archive/items/jrhp_006.html
"Mine drill bit and Workers","","","Black and White Photo the Mining Drill Bit and Workers","Mining","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_15134_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_15134.pdf",/JRWA-Archive/items/jrhp_007.html
"Maveric River adds to the Mine Flow","","1964-01-09","Black and White Newsprint with Photos of the Mine being flooded in 1964","Mining; Flood; Cowichan Copper Company; Copper","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_61241_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_61241.pdf",/JRWA-Archive/items/jrhp_008.html
"Heavy Rain to Delay Flooded Mine Repair","","1963-12-07","Black and White Newsprint with Photos of the Mine being flooded in 1964","Mining; Flood; Cowichan Copper Company; Copper","","","","","","photo","image/PDF","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/fileid_61335_th.jpg","http://localhost:4000/JRWA-Archive/objects/fileid_61335.pdf",/JRWA-Archive/items/jrhp_009.html
"Aerial Photo of Estuary with Lumber Mill 2","","","Black and White Aerial Photo of the Estuary and Logging Mill","Estuary; Forestry; Mill","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jrestuary_th.jpg","http://localhost:4000/JRWA-Archive/objects/jrestuary.png",/JRWA-Archive/items/jrhp_010.html
"Aerial Photo of Estuary with Lumber Mill 3","","","Black and White Aerial Photo of the Estuary and Logging Mill","Estuary; Forestry; Mill","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jrestuary2_th.jpg","http://localhost:4000/JRWA-Archive/objects/jrestuary2.png",/JRWA-Archive/items/jrhp_011.html
"Booming Area Photo","","1917","Black and White Photo of the Booming Area","Estuary; Forestry; Booming","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1917boomingarea_th.jpg","http://localhost:4000/JRWA-Archive/objects/1917boomingarea.jpg",/JRWA-Archive/items/jrhp_012.html
"Forebay Pond","","","Black and White Photo of the Forebay Pond","Estuary; Forestry; Forebay Pond","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/forebaypond_th.jpg","http://localhost:4000/JRWA-Archive/objects/forebaypond.jpg",/JRWA-Archive/items/jrhp_013.html
"Log Booming Photo","","1950","Black and White Photo of a crane lifting logs","Estuary; Forestry; Booming","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1950slogbooming_th.jpg","http://localhost:4000/JRWA-Archive/objects/1950slogbooming.jpg",/JRWA-Archive/items/jrhp_014.html
"Rail Car","","1920","Black and White Photo of men on a Rail car","Railcar","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920railcar_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920railcar.jpg",/JRWA-Archive/items/jrhp_015.html
"George Winkler, the Poet Prospector","","1908","Screenshot of Royal BC Museum Entry on George Winkler, with brief biography and black and white photograph of the man himself","George Winkler; Prospector; Mining","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/winklerbio_th.jpg","http://localhost:4000/JRWA-Archive/objects/winklerbio.png",/JRWA-Archive/items/jrhp_016.html
"The dam at the Jordan River","","1919","Black and White photo of the dam in construction","Hydroelectric; Dam","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rcbmhydroflume_th.jpg","http://localhost:4000/JRWA-Archive/objects/rcbmhydroflume.png",/JRWA-Archive/items/jrhp_017.html
"Rail line near Sunloch Mine","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail1_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail1.png",/JRWA-Archive/items/jrhp_018.html
"Rail line near Sunloch Mine 2","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail2_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail2.png",/JRWA-Archive/items/jrhp_019.html
"Rail line near Sunloch Mine 3","","1919","Black and White photo of rail line","Mining; Sunloch Mines Ltd.","","","","","","photo","image/PNG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/rmcbhsunloch1919rail3_th.jpg","http://localhost:4000/JRWA-Archive/objects/rmcbhsunloch1919rail3.png",/JRWA-Archive/items/jrhp_020.html
"Powerhouse at Jordan River 1920","","1920","Black and White photo of powerhouse","Hydroelectric","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920powerhousejr_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920powerhousejr.jpg",/JRWA-Archive/items/jrhp_021.html
"Camp 2 at Jordan River and Dam 1930&#39;s","","1930","Black and White photo of a camp adjacent to the dam","Forestry; Settlement; Dam; Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1930sjordanriveranddam_th.jpg","http://localhost:4000/JRWA-Archive/objects/1930sjordanriveranddam.jpg",/JRWA-Archive/items/jrhp_022.html
"Jordan River Miner in the 1920s","","1920","Black and White photo of a miner","Mining","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1920jrsunlockmines_th.jpg","http://localhost:4000/JRWA-Archive/objects/1920jrsunlockmines.jpg",/JRWA-Archive/items/jrhp_023.html
"Jordan River Community Hall 1945-48","","1940","Black and White photo of the community hall","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1945_48jrcommunityhall_th.jpg","http://localhost:4000/JRWA-Archive/objects/1945_48jrcommunityhall.jpg",/JRWA-Archive/items/jrhp_024.html
"Jordan River Powerhouse 1926","","1926","Black and White photo of powerhouse","Hydroelectric","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1926jrpowerhouse_th.jpg","http://localhost:4000/JRWA-Archive/objects/1926jrpowerhouse.jpg",/JRWA-Archive/items/jrhp_025.html
"Clearing where powerhouse was built","","1908","Black and White photo of cleared field adjacent to dam","Hydroelectric ","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/clearingwherepowerhousewasbuiltjordanriver1908_th.jpg","http://localhost:4000/JRWA-Archive/objects/clearingwherepowerhousewasbuiltjordanriver1908.jpg",/JRWA-Archive/items/jrhp_026.html
"View of the Jordan River 1904","","1904","","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1904viewjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/1904viewjr.jpg",/JRWA-Archive/items/jrhp_026.5.html
"Telegraph Hut","","","Black and White photo the Jordan River","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/telegraphhutjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/telegraphhutjr.jpg",/JRWA-Archive/items/jrhp_027.html
"Man Drilling a Rock ","","1917","Black and White photo the Jordan River Homes","Mining","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1919mandrillingrock_th.jpg","http://localhost:4000/JRWA-Archive/objects/1919mandrillingrock.png",/JRWA-Archive/items/jrhp_028.html
"Homes of the Jordan River 1920&#39;s ","","1920","Black and White photo of a man drilling a rock","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/homesatjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/homesatjr.jpg",/JRWA-Archive/items/jrhp_029.html
"River Mouth 1911","","1911","Black and White photo the Jordan River","","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1911rivermouth_th.jpg","http://localhost:4000/JRWA-Archive/objects/1911rivermouth.jpg",/JRWA-Archive/items/jrhp_030.html
"Dock and Straights 1900-1910","","1900","Screenshot of the University of British Columbia ","Settlement","","","","","","photo","image/JPG","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1900_1910jrdock_th.jpg","http://localhost:4000/JRWA-Archive/objects/1900_1910jrdock.pdf",/JRWA-Archive/items/jrhp_031.html
"Ethnobotany of the
Nitinaht Indians of Vancouver Island","","1983","","Ethnobotany; Plants; Indigenous; First Nations; Biology","","","","","","Book","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1983ethnobotany_nancyturner_th.jpg","http://localhost:4000/JRWA-Archive/objects/1983ethnobotany_nancyturner.pdf",/JRWA-Archive/items/jrhfn_001.html
"Water Dialogue Series: Canada Water Agency What We Heard Report","BC Assembly of First Nations","2022-07-01","","Advocacy; Canada Water Agency; First Nations","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2022canadawateragencyvirtualdialogue_th.jpg","http://localhost:4000/JRWA-Archive/objects/2022canadawateragencyvirtualdialogue.pdf",/JRWA-Archive/items/jrhfn_002.html
"B.C. First Nations plan to appeal ruling to
restore natural river flows 70 years later","CTV News Vancouver","2022-02-04","","Legal Case; River Diversion; First Nations; Advocacy; Salmon","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2022bc_firstnationstoappealnechakorivercourtruling_th.jpg","http://localhost:4000/JRWA-Archive/objects/2022bc_firstnationstoappealnechakorivercourtruling.pdf",/JRWA-Archive/items/jrhfn_003.html
"Ditidaht &amp; Pacheedaht Agreement in Principle - Treaty","","2019-06-28","","First Nations; Treaty","","","","","","Treaty Document","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ditidahtandpacheedaht2019treatyagreementinprinciple_th.jpg","http://localhost:4000/JRWA-Archive/objects/ditidahtandpacheedaht2019treatyagreementinprinciple.pdf",/JRWA-Archive/items/jrhfn_004.html
"Case for a Guardian Network Initiative ","BC First Nations Energy and Mining Council and UVic Environmental Centre","2020-07-01","","First Nations; Guardian Programs; Conservation","","","","","","Advocacy Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2020caseforaguardiannetwork_th.jpg","http://localhost:4000/JRWA-Archive/objects/2020caseforaguardiannetwork.pdf",/JRWA-Archive/items/jrhfn_005.html
"Step into the River: A Framework for Economic Reconciliation","Sxwpilemaát Siyám and Lily Raphael","2022","","First Nations; Justice","","","","","","Advocacy Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation_th.jpg","http://localhost:4000/JRWA-Archive/objects/siyam2022facultyofenvironmentstepintotheriveraframeworkforeconomicreconciliation.pdf",/JRWA-Archive/items/jrhfn_006.html
"Jordan River Historical Salmond Survey ","RRL Recreation Resources Limited ","2001-1","Survey of public anecdotal knowledge knowledge of salmon conditions pre- 1971","Salmon; BC Hydro","","","","","","Public Survey ","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2001jordanriverhistoricalsalmonidsurvey_th.jpg","http://localhost:4000/JRWA-Archive/objects/2001jordanriverhistoricalsalmonidsurvey.pdf",/JRWA-Archive/items/jrhfn_007.html
"Review of the Ethnographic and Historical Resources: T&#39;Sou-ke and Pacheedaht First Nations","Ministry of Attorney General Legal Services Branch ","2008-10-20","","First Nations; Land Use; Sooke; Pacheedaht ","","","","","","Research","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/reviewoffirstnationresources_th.jpg","http://localhost:4000/JRWA-Archive/objects/reviewoffirstnationresources.pdf",/JRWA-Archive/items/jrhfn_008.html
"A sacred rattle, a fleeing tribe, an eagle eating a sockeye: Pacheedaht reflect on their origins and future with recent land purchase","Eric Plumber","","Ceremony Description in relation to Pacheedaht buying historic lands from BC Hydro  ","Hydroelectric; Land Use; Pacheedaht; BC Hydro","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/plummer2018pacheedahtreflectontheiroriginsinhashilthsa_th.jpg","http://localhost:4000/JRWA-Archive/objects/plummer2018pacheedahtreflectontheiroriginsinhashilthsa.pdf",/JRWA-Archive/items/jrhfn_009.html
"Pacheedaht First Nation Newsletter","Pamela Jones Kristine Pearson","2017-10-1","Pacheedaht First Nation Newsletter Land Use Planning","First Nations; Land Use; Pacheedaht ","","","","","","Newsletter","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/pnf2017lup_newsletter_th.jpg","http://localhost:4000/JRWA-Archive/objects/pnf2017lup_newsletter.pdf",/JRWA-Archive/items/jrhfn_010.html
"Site C Project Tripartite Land Agreement","","2016-04-07","","Land Agreement; BC Hydro; Land Use; Hydroelectric; Mcleod Lake Indian Band","","","","","","Land Use Agreement","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/mcletla07apr2016_th.jpg","http://localhost:4000/JRWA-Archive/objects/mcletla07apr2016.pdf",/JRWA-Archive/items/jrhfn_011.html
"Pacheedaht First Nation Traditional Use and Occupancy Study Report for Port Metro Vancouver Roberts Bank Terminal 2 Project!","Pacheedaht Heritage Project, Pacheedaht First Nation Treaty Department","2015-09-23","This report presents information about the Pacheedaht First Nation related to their
aboriginal interests (rights and title) and traditional use and current use of lands, waters
and resources, as related to the Port Metro Vancouver Roberts Bank Terminal 2 Project.
The report has been prepared with consideration of the “Updated Guidelines for the
Preparation of an Environmental Impact Statement, Pursuant to the Canadian
Environmental Assessment Act, 2012 for the Roberts Bank Terminal 2 Project proposed
by Port Metro Vancouver” (RBT2 EIS) dated April 17, 2015. It has also based on topics
and formatting requested by Port Metro Vancouver representatives.","Pacheedaht; Land Use; History; Survey","","","","","","Land Use Study","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/2017pacheedahttraditionaluseandoccupancystudyreport_th.jpg","http://localhost:4000/JRWA-Archive/objects/2017pacheedahttraditionaluseandoccupancystudyreport.pdf",/JRWA-Archive/items/jrhfn_013.html
"Pacheedaht First Nation Incremental Treaty Agreement","","2013-03-26","","Pacheedaht","","","","","","Treaty Document","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ita_pacheedaht_th.jpg","http://localhost:4000/JRWA-Archive/objects/ita_pacheedaht.pdf",/JRWA-Archive/items/jrhfn_014.html
"Bibliography - Review of the Ethnographic and Historical Resources: T&#39;Sou-ke and Pacheedaht First Nations","Ministry of Attorney General Legal Services Branch ","2008-10-20","","First Nations","","","","","","Bibliography","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/firstnationrefs_th.jpg","http://localhost:4000/JRWA-Archive/objects/firstnationrefs.pdf",/JRWA-Archive/items/jrhfn_015.html
"Indigenous Oral History and Settlement Archaeology in Barkley Sound, Western Vancouver Island","Iain McKechnie","2015","","First Nations; Oral History","","","","","","Study","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ebarsky_mckechnie_th.jpg","http://localhost:4000/JRWA-Archive/objects/ebarsky_mckechnie.pdf",/JRWA-Archive/items/jrhfn_016.html
"B.C. clam garden restoration revives millennia-old First Nation food source","Alistair Taylor","2024-09-21","","Clam Garden; First Nations; Food Systems","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/bcclamgardenrestorationrevivesmillenniaoldfirstnationfoodsource_sookenewsmirror.pdf",/JRWA-Archive/items/jrhfn_017.html
"Highlights from the Ancient Fish Trap Study","","","","Fish Traps; First Nations; Food Systems","","","","","","Web Page","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/highlightsfromtheancientfishtrapstudy_projectwatershed_th.jpg","http://localhost:4000/JRWA-Archive/objects/highlightsfromtheancientfishtrapstudy_projectwatershed.pdf",/JRWA-Archive/items/jrhfn_018.html
"An underwater mystery on Canada&#39;s coast","Diane Selkirk","2021-10-14","","Clam Garden; First Nations; Food Systems","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/selkirk2021anunderwatermysteryoncanada'scoastinbbctravel_th.jpg","http://localhost:4000/JRWA-Archive/objects/selkirk2021anunderwatermysteryoncanada'scoastinbbctravel.pdf",/JRWA-Archive/items/jrhfn_019.html
"Step into the River: A Framework for Economic Reconciliation","Sxwpilemaát Siyám and Lily Raphael","2022","","First Nations; Justice","","","","","","Advocacy Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/stepintotheriveracknowledgments_th.jpg","http://localhost:4000/JRWA-Archive/objects/stepintotheriveracknowledgments.png",/JRWA-Archive/items/jrhfn_020.html
"Little Rills and Waters Numberless","","1939-05-31","Sunro Mine Entrance","Biology; Plants; Fossils: Settler","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jrdc1936littlerillsandwatersumberless_th.jpg","http://localhost:4000/JRWA-Archive/objects/jrdc1936littlerillsandwatersumberless.pdf",/JRWA-Archive/items/jrhs_001.html
"Jordan River Enchanting Place","Donald Stainsby","1967-19-02","Advertisement for the town","Mining; Settler","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/jr1962provincejranenchantingplace_th.jpg","http://localhost:4000/JRWA-Archive/objects/jr1962provincejranenchantingplace.pdf",/JRWA-Archive/items/jrhs_002.html
"Jordan River drew attention in 1923","Elida Peers ","2007-08-31","","Settlement; Hydroelectric","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/peers2014thefamilythatbuiltjordanriverinsookenewsmirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/peers2014thefamilythatbuiltjordanriverinsookenewsmirror.pdf",/JRWA-Archive/items/jrhs_003.html
"The family that built Jordan River","Elida Peers","2014-03-12","","Settlement; Hydroelectric","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/peers2015jordanriverdamworryrevisitedinsookenewsmirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/peers2015jordanriverdamworryrevisitedinsookenewsmirror.pdf",/JRWA-Archive/items/jrhs_004.html
"Jordan River forestry a contrast in decades","Elida Peers","2022-03-20","","Settlement; Forestry; Canadian Overseas Log and Lumber Ltd; Hydroelectric","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/peers2019jordanriverforestryacontrastindecadesinsookenewsmirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/peers2019jordanriverforestryacontrastindecadesinsookenewsmirror.pdf",/JRWA-Archive/items/jrhs_005.html
"Jordan River drew attention in 1923","Elida Peers","2011-08-31","","Settlement; Hydroelectric;","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/peers2011jordanriverdrewattentionin1923insookenewsmirror_th.jpg","http://localhost:4000/JRWA-Archive/objects/peers2011jordanriverdrewattentionin1923insookenewsmirror.pdf",/JRWA-Archive/items/jrhs_006.html
"Jordan River Enthusiastic about Prison Camp","Max Low","1974-12-21","","Settlement; Prison","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/times_colonist_1974_jrprison_th.jpg","http://localhost:4000/JRWA-Archive/objects/times_colonist_1974_jrprison.pdf",/JRWA-Archive/items/jrhs_007.html
"Welcome to Jordan River Sign","","","","Settlement","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/welcometojrsign_th.jpg","http://localhost:4000/JRWA-Archive/objects/welcometojrsign.JPG",/JRWA-Archive/items/jrhs_008.html
"Shirley - Jordan River Official Community Plan","","2016","","Settlement; Regional Planning; First Nations; Transportation; Water; Environment; Adaptation; Environmental Planning","","","","","","Plan","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/officialcommunityplanforshirleyjordanriverbylawno_th.jpg","http://localhost:4000/JRWA-Archive/objects/officialcommunityplanforshirleyjordanriverbylawno.pdf",/JRWA-Archive/items/jrhs_009.html
"Bliss Spring","","2019-02-14","","Water Spring; Settlement","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/blissspring_th.jpg","http://localhost:4000/JRWA-Archive/objects/blissspring.pdf",/JRWA-Archive/items/jrhs_011.html
"Tugs and Barges To and From Jordan River BC","Arnie Campbell","2015","","Historic Transportation; Settlement","","","","","","News Article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/campbell2015thenauticapediatugsandbargestoandfromjordanriverbc_th.jpg","http://localhost:4000/JRWA-Archive/objects/campbell2015thenauticapediatugsandbargestoandfromjordanriverbc.pdf",/JRWA-Archive/items/jrhs_012.html
"Hydrogeologic Assessment and Water Quality Monitoring of the Wood Waste Landfill Site, Jordan River, British Columbia","Golder Associates","2007-12-12","","Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/golderassociates2007hydrgeologicalassessmentandwaterqualityofthewoodwastelandfillsite_th.jpg","http://localhost:4000/JRWA-Archive/objects/golderassociates2007hydrgeologicalassessmentandwaterqualityofthewoodwastelandfillsite.pdf",/JRWA-Archive/items/jrhea_001.html
"PHASE I ENVIRONMENTAL SITE ASSESSMENT JORDAN RIVER GROUP SOUTHERN VANCOUVER ISLAND WFP LANDS JORDAN RIVER, BC","Golder Associates","2008-08-24","","Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/golderassociates2008phase1environmenalsiteassessmentilkaydevel_th.jpg","http://localhost:4000/JRWA-Archive/objects/golderassociates2008phase1environmenalsiteassessmentilkaydevel.pdf",/JRWA-Archive/items/jrhea_002.html
"Developer’s alternate vision for Jordan River designed with public in mind","Ender Ilkay","2008-08-18","Plan for property on Island’s south coast provides access to beaches and
thousands of acres of green space","Development Plan; Settlement; Development","","","","","","","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/ilkaydevelopmentcorp2008developersaltermatevisionforjr_th.jpg","http://localhost:4000/JRWA-Archive/objects/ilkaydevelopmentcorp2008developersaltermatevisionforjr.pdf",/JRWA-Archive/items/jrhea_003.html
"Response to MOE E-mail RE: Request for Pre Approvals under Protocol 6 for Jordan River sites","Stefan Quaglia","2011-10-28","","Zinc; Ecology; Pollution Exposure; Food Chain; Toxicity Testing; ","","","","","","Email","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/keystoneenvironmental2011bcpreapproval_th.jpg","http://localhost:4000/JRWA-Archive/objects/keystoneenvironmental2011bcpreapproval.pdf",/JRWA-Archive/items/jrhea_004.html
"TABLES, DATA, AND PERMITS RELATED TO APEC JRG2-01 WOOD WASTE LANDFILL","","","","Environmental Assessment; Landfill; Woodwaste; Water; Toxicity; Contamination; Pollution","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/keystoneenvironmental2012appendixkwoodwastelandfill_th.jpg","http://localhost:4000/JRWA-Archive/objects/keystoneenvironmental2012appendixkwoodwastelandfill.pdf",/JRWA-Archive/items/jrhea_005.html
"Report of Findings – Preliminary Site Investigation","Michael Geraghty","2012-20-06","","Environmental Assessment; Landfill; Woodwaste; Water; Toxicity; Contamination; Pollution","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/keystoneenvironmental2012reportoffindingswfp_th.jpg","http://localhost:4000/JRWA-Archive/objects/keystoneenvironmental2012reportoffindingswfp.pdf",/JRWA-Archive/items/jrhea_006.html
"Summary of Site Condition","","2012-11-23","","Environmental Assessment; Landfill; Woodwaste; Water; Hydrogeology; Toxicity; Contamination; Pollution","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/keystoneenvironmental2012summaryofsitecondition_th.jpg","http://localhost:4000/JRWA-Archive/objects/keystoneenvironmental2012summaryofsitecondition.pdf",/JRWA-Archive/items/jrhea_007.html
"Treatment of Wood Waste Landfill Leachate Using Engineered Wetlands","Richard Johns, Antonia Gunardi,","","","Wood Waste Landfill; Remediation; Engineered Wetland","","","","","","Report","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/keystoneenvironmental2014treatmentofwoodwastejordanriverpowerpoint_th.jpg","http://localhost:4000/JRWA-Archive/objects/keystoneenvironmental2014treatmentofwoodwastejordanriverpowerpoint.pdf",/JRWA-Archive/items/jrhea_008.html
"Dow Chemical Here to Defend Spraying","Ian Corrance","1978-05-16","","Dow Chemicals; Herbicides; Hydroelectric; ","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24d_chemical_to_spray_right_away_th.jpg","http://localhost:4000/JRWA-Archive/objects/1978_sunishine_coastnews_1-4_bchydro_hearing_for_using_24d_chemical_to_spray_right_away.pdf",/JRWA-Archive/items/jrnphhp_001.html
"Wildlife Corner","Ian Corrance","1980-11-11","","Dow Chemicals; Herbicides; Hydroelectric","","","","","","news article","application/pdf","","","","http://localhost:4000/JRWA-Archive/objects/thumbs/1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_%20jr_and_sooke_th.jpg","http://localhost:4000/JRWA-Archive/objects/(1980_sunchine_coast_23_3_hydro_employee_charged_for_misleading)_the_public_about_pesticide_control_act_sparying_bt_%20jr_and_sooke.pdf",/JRWA-Archive/items/jrnphhp_002.html
