subject,count,link
"energy plan",1,"http://localhost:4000/JRWA-Archive/browse.html#energy%20plan"
"otter point",1,"http://localhost:4000/JRWA-Archive/browse.html#otter%20point"
"casualty",1,"http://localhost:4000/JRWA-Archive/browse.html#casualty"
"wetland",1,"http://localhost:4000/JRWA-Archive/browse.html#wetland"
"vegetation",1,"http://localhost:4000/JRWA-Archive/browse.html#vegetation"
"revegetation",1,"http://localhost:4000/JRWA-Archive/browse.html#revegetation"
"jordan river hydro other reports",1,"http://localhost:4000/JRWA-Archive/browse.html#jordan%20river%20hydro%20other%20reports"
"bears",1,"http://localhost:4000/JRWA-Archive/browse.html#bears"
"whale hunting",1,"http://localhost:4000/JRWA-Archive/browse.html#whale%20hunting"
"drowning",1,"http://localhost:4000/JRWA-Archive/browse.html#drowning"
"project proposal",1,"http://localhost:4000/JRWA-Archive/browse.html#project%20proposal"
"land grants",1,"http://localhost:4000/JRWA-Archive/browse.html#land%20grants"
"loggin",1,"http://localhost:4000/JRWA-Archive/browse.html#loggin"
"log boom",1,"http://localhost:4000/JRWA-Archive/browse.html#log%20boom"
"island logging company",1,"http://localhost:4000/JRWA-Archive/browse.html#island%20logging%20company"
"mount polley mine disaster",1,"http://localhost:4000/JRWA-Archive/browse.html#mount%20polley%20mine%20disaster"
"local and traditional knowledge",1,"http://localhost:4000/JRWA-Archive/browse.html#local%20and%20traditional%20knowledge"
"waste disposal",1,"http://localhost:4000/JRWA-Archive/browse.html#waste%20disposal"
"citizen participation",1,"http://localhost:4000/JRWA-Archive/browse.html#citizen%20participation"
"trial",1,"http://localhost:4000/JRWA-Archive/browse.html#trial"
"directors meeting",1,"http://localhost:4000/JRWA-Archive/browse.html#directors%20meeting"
"public involvement",1,"http://localhost:4000/JRWA-Archive/browse.html#public%20involvement"
"compromised environmentalism",1,"http://localhost:4000/JRWA-Archive/browse.html#compromised%20environmentalism"
"indigenous peoples",1,"http://localhost:4000/JRWA-Archive/browse.html#indigenous%20peoples"
"geology section",1,"http://localhost:4000/JRWA-Archive/browse.html#geology%20section"
"hydrology",1,"http://localhost:4000/JRWA-Archive/browse.html#hydrology"
"ore production",1,"http://localhost:4000/JRWA-Archive/browse.html#ore%20production"
"property acquisition",1,"http://localhost:4000/JRWA-Archive/browse.html#property%20acquisition"
"beach pollution",1,"http://localhost:4000/JRWA-Archive/browse.html#beach%20pollution"
"environmentalism",1,"http://localhost:4000/JRWA-Archive/browse.html#environmentalism"
"estuaries",1,"http://localhost:4000/JRWA-Archive/browse.html#estuaries"
"heavy metals",1,"http://localhost:4000/JRWA-Archive/browse.html#heavy%20metals"
"dison international",1,"http://localhost:4000/JRWA-Archive/browse.html#dison%20international"
"vancouver stock exchange",1,"http://localhost:4000/JRWA-Archive/browse.html#vancouver%20stock%20exchange"
"finance",1,"http://localhost:4000/JRWA-Archive/browse.html#finance"
"fine",1,"http://localhost:4000/JRWA-Archive/browse.html#fine"
"copper pollution",1,"http://localhost:4000/JRWA-Archive/browse.html#copper%20pollution"
"scientific pollution and environmental control society",1,"http://localhost:4000/JRWA-Archive/browse.html#scientific%20pollution%20and%20environmental%20control%20society"
"shipwreck",1,"http://localhost:4000/JRWA-Archive/browse.html#shipwreck"
"cable",1,"http://localhost:4000/JRWA-Archive/browse.html#cable"
"pollution permit",1,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20permit"
