subject,count,link
"power plant fire",4,"http://localhost:4000/JRWA-Archive/browse.html#power%20plant%20fire"
"stock manipulation",4,"http://localhost:4000/JRWA-Archive/browse.html#stock%20manipulation"
"ozzie macdonald",4,"http://localhost:4000/JRWA-Archive/browse.html#ozzie%20macdonald"
"facebook comment",4,"http://localhost:4000/JRWA-Archive/browse.html#facebook%20comment"
"hearing",4,"http://localhost:4000/JRWA-Archive/browse.html#hearing"
"william venables",4,"http://localhost:4000/JRWA-Archive/browse.html#william%20venables"
"settling pond",4,"http://localhost:4000/JRWA-Archive/browse.html#settling%20pond"
"j. h. todd & sons",4,"http://localhost:4000/JRWA-Archive/browse.html#j.%20h.%20todd%20&%20sons"
"canning",4,"http://localhost:4000/JRWA-Archive/browse.html#canning"
"watershed",4,"http://localhost:4000/JRWA-Archive/browse.html#watershed"
"development",4,"http://localhost:4000/JRWA-Archive/browse.html#development"
"production",4,"http://localhost:4000/JRWA-Archive/browse.html#production"
"dam",4,"http://localhost:4000/JRWA-Archive/browse.html#dam"
"profit estimation",3,"http://localhost:4000/JRWA-Archive/browse.html#profit%20estimation"
"tunnel",3,"http://localhost:4000/JRWA-Archive/browse.html#tunnel"
"investment",3,"http://localhost:4000/JRWA-Archive/browse.html#investment"
"iron",3,"http://localhost:4000/JRWA-Archive/browse.html#iron"
"pollution management",3,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20management"
"pollution control board",3,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20control%20board"
"road",3,"http://localhost:4000/JRWA-Archive/browse.html#road"
"acquisition",3,"http://localhost:4000/JRWA-Archive/browse.html#acquisition"
"discharge pipe",3,"http://localhost:4000/JRWA-Archive/browse.html#discharge%20pipe"
"pollution monitoring",3,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20monitoring"
"prospecting",3,"http://localhost:4000/JRWA-Archive/browse.html#prospecting"
"recession",3,"http://localhost:4000/JRWA-Archive/browse.html#recession"
"ore deposits",3,"http://localhost:4000/JRWA-Archive/browse.html#ore%20deposits"
"sections and diagrams",3,"http://localhost:4000/JRWA-Archive/browse.html#sections%20and%20diagrams"
"milling",3,"http://localhost:4000/JRWA-Archive/browse.html#milling"
"food systems",3,"http://localhost:4000/JRWA-Archive/browse.html#food%20systems"
"workers",3,"http://localhost:4000/JRWA-Archive/browse.html#workers"
"mine and mill process",3,"http://localhost:4000/JRWA-Archive/browse.html#mine%20and%20mill%20process"
"ore deposit",3,"http://localhost:4000/JRWA-Archive/browse.html#ore%20deposit"
"japan",3,"http://localhost:4000/JRWA-Archive/browse.html#japan"
"wages",3,"http://localhost:4000/JRWA-Archive/browse.html#wages"
"habitat restoration",3,"http://localhost:4000/JRWA-Archive/browse.html#habitat%20restoration"
"fish study",3,"http://localhost:4000/JRWA-Archive/browse.html#fish%20study"
"red alder",3,"http://localhost:4000/JRWA-Archive/browse.html#red%20alder"
"drill bit",3,"http://localhost:4000/JRWA-Archive/browse.html#drill%20bit"
"herbicide",3,"http://localhost:4000/JRWA-Archive/browse.html#herbicide"
"fauna: salmon",3,"http://localhost:4000/JRWA-Archive/browse.html#fauna:%20salmon"
"hydrogeology",3,"http://localhost:4000/JRWA-Archive/browse.html#hydrogeology"
"mining sites",3,"http://localhost:4000/JRWA-Archive/browse.html#mining%20sites"
"railway",3,"http://localhost:4000/JRWA-Archive/browse.html#railway"
"water birds",3,"http://localhost:4000/JRWA-Archive/browse.html#water%20birds"
"bats",3,"http://localhost:4000/JRWA-Archive/browse.html#bats"
"the jordan river lumber company",3,"http://localhost:4000/JRWA-Archive/browse.html#the%20jordan%20river%20lumber%20company"
"booming",3,"http://localhost:4000/JRWA-Archive/browse.html#booming"
"study",3,"http://localhost:4000/JRWA-Archive/browse.html#study"
"ministry of energy and mining",3,"http://localhost:4000/JRWA-Archive/browse.html#ministry%20of%20energy%20and%20mining"
"tordon 10k",3,"http://localhost:4000/JRWA-Archive/browse.html#tordon%2010k"
"b.c. electric company",3,"http://localhost:4000/JRWA-Archive/browse.html#b.c.%20electric%20company"
"discovery",2,"http://localhost:4000/JRWA-Archive/browse.html#discovery"
"reopening",2,"http://localhost:4000/JRWA-Archive/browse.html#reopening"
"closures",2,"http://localhost:4000/JRWA-Archive/browse.html#closures"
"continued mining recommendation",2,"http://localhost:4000/JRWA-Archive/browse.html#continued%20mining%20recommendation"
"river",2,"http://localhost:4000/JRWA-Archive/browse.html#river"
"smelting",2,"http://localhost:4000/JRWA-Archive/browse.html#smelting"
"new sunro",2,"http://localhost:4000/JRWA-Archive/browse.html#new%20sunro"
"reservoir",2,"http://localhost:4000/JRWA-Archive/browse.html#reservoir"
"dam construction",2,"http://localhost:4000/JRWA-Archive/browse.html#dam%20construction"
"openings",2,"http://localhost:4000/JRWA-Archive/browse.html#openings"
"lakes",2,"http://localhost:4000/JRWA-Archive/browse.html#lakes"
"riparian areas",2,"http://localhost:4000/JRWA-Archive/browse.html#riparian%20areas"
"water pumps",2,"http://localhost:4000/JRWA-Archive/browse.html#water%20pumps"
"fisheries",2,"http://localhost:4000/JRWA-Archive/browse.html#fisheries"
"axons",2,"http://localhost:4000/JRWA-Archive/browse.html#axons"
"historical mines",2,"http://localhost:4000/JRWA-Archive/browse.html#historical%20mines"
"electrification",2,"http://localhost:4000/JRWA-Archive/browse.html#electrification"
"sections",2,"http://localhost:4000/JRWA-Archive/browse.html#sections"
"diagrams",2,"http://localhost:4000/JRWA-Archive/browse.html#diagrams"
"property ownership",2,"http://localhost:4000/JRWA-Archive/browse.html#property%20ownership"
"mining technique",2,"http://localhost:4000/JRWA-Archive/browse.html#mining%20technique"
"floodplain",2,"http://localhost:4000/JRWA-Archive/browse.html#floodplain"
"sediments",2,"http://localhost:4000/JRWA-Archive/browse.html#sediments"
"reopening mine",2,"http://localhost:4000/JRWA-Archive/browse.html#reopening%20mine"
"pollution permit rejection",2,"http://localhost:4000/JRWA-Archive/browse.html#pollution%20permit%20rejection"
"spawning: flow management",2,"http://localhost:4000/JRWA-Archive/browse.html#spawning:%20flow%20management"
"rehabilitation",2,"http://localhost:4000/JRWA-Archive/browse.html#rehabilitation"
"water temperature",2,"http://localhost:4000/JRWA-Archive/browse.html#water%20temperature"
"mineral wealth",2,"http://localhost:4000/JRWA-Archive/browse.html#mineral%20wealth"
"bioenergetics",2,"http://localhost:4000/JRWA-Archive/browse.html#bioenergetics"
"bed scouring",2,"http://localhost:4000/JRWA-Archive/browse.html#bed%20scouring"
"mineral deposits",2,"http://localhost:4000/JRWA-Archive/browse.html#mineral%20deposits"
"erosion",2,"http://localhost:4000/JRWA-Archive/browse.html#erosion"
"logging closure",2,"http://localhost:4000/JRWA-Archive/browse.html#logging%20closure"
"food supply",2,"http://localhost:4000/JRWA-Archive/browse.html#food%20supply"
"criminal case",2,"http://localhost:4000/JRWA-Archive/browse.html#criminal%20case"
"land acquisition",2,"http://localhost:4000/JRWA-Archive/browse.html#land%20acquisition"
"minerals",2,"http://localhost:4000/JRWA-Archive/browse.html#minerals"
"geological survey",2,"http://localhost:4000/JRWA-Archive/browse.html#geological%20survey"
"power plant",2,"http://localhost:4000/JRWA-Archive/browse.html#power%20plant"
"sooke harbour fishing and packing company",2,"http://localhost:4000/JRWA-Archive/browse.html#sooke%20harbour%20fishing%20and%20packing%20company"
"abandoned mines",2,"http://localhost:4000/JRWA-Archive/browse.html#abandoned%20mines"
"indigenous community",2,"http://localhost:4000/JRWA-Archive/browse.html#indigenous%20community"
"clam garden",2,"http://localhost:4000/JRWA-Archive/browse.html#clam%20garden"
"tree snags",2,"http://localhost:4000/JRWA-Archive/browse.html#tree%20snags"
"survey",2,"http://localhost:4000/JRWA-Archive/browse.html#survey"
"solar",2,"http://localhost:4000/JRWA-Archive/browse.html#solar"
"food chain",2,"http://localhost:4000/JRWA-Archive/browse.html#food%20chain"
"justice",2,"http://localhost:4000/JRWA-Archive/browse.html#justice"
"energy storage",2,"http://localhost:4000/JRWA-Archive/browse.html#energy%20storage"
"drained reservoir",2,"http://localhost:4000/JRWA-Archive/browse.html#drained%20reservoir"
"nuclear",2,"http://localhost:4000/JRWA-Archive/browse.html#nuclear"
"ownership",2,"http://localhost:4000/JRWA-Archive/browse.html#ownership"
"dam risks",2,"http://localhost:4000/JRWA-Archive/browse.html#dam%20risks"
"cowichan copper company",2,"http://localhost:4000/JRWA-Archive/browse.html#cowichan%20copper%20company"
"pesticides",2,"http://localhost:4000/JRWA-Archive/browse.html#pesticides"
"diversion dam",2,"http://localhost:4000/JRWA-Archive/browse.html#diversion%20dam"
"flood",2,"http://localhost:4000/JRWA-Archive/browse.html#flood"
"elliot dam",2,"http://localhost:4000/JRWA-Archive/browse.html#elliot%20dam"
"metal leaching",2,"http://localhost:4000/JRWA-Archive/browse.html#metal%20leaching"
"biology",2,"http://localhost:4000/JRWA-Archive/browse.html#biology"
"advocacy",2,"http://localhost:4000/JRWA-Archive/browse.html#advocacy"
"powerhouse",2,"http://localhost:4000/JRWA-Archive/browse.html#powerhouse"
"ministry of energy",2,"http://localhost:4000/JRWA-Archive/browse.html#ministry%20of%20energy"
"dow chemicals",2,"http://localhost:4000/JRWA-Archive/browse.html#dow%20chemicals"
"fisheries act",1,"http://localhost:4000/JRWA-Archive/browse.html#fisheries%20act"
"fish migration",1,"http://localhost:4000/JRWA-Archive/browse.html#fish%20migration"
"mining industry publication",1,"http://localhost:4000/JRWA-Archive/browse.html#mining%20industry%20publication"
"water levels",1,"http://localhost:4000/JRWA-Archive/browse.html#water%20levels"
"water power",1,"http://localhost:4000/JRWA-Archive/browse.html#water%20power"
"vancouver island power company",1,"http://localhost:4000/JRWA-Archive/browse.html#vancouver%20island%20power%20company"
"mining violations",1,"http://localhost:4000/JRWA-Archive/browse.html#mining%20violations"
"itt industries canada",1,"http://localhost:4000/JRWA-Archive/browse.html#itt%20industries%20canada"
"metal testing",1,"http://localhost:4000/JRWA-Archive/browse.html#metal%20testing"
"vancouver island power",1,"http://localhost:4000/JRWA-Archive/browse.html#vancouver%20island%20power"
"water testing",1,"http://localhost:4000/JRWA-Archive/browse.html#water%20testing"
"hydroelectric labor",1,"http://localhost:4000/JRWA-Archive/browse.html#hydroelectric%20labor"
"law amendment",1,"http://localhost:4000/JRWA-Archive/browse.html#law%20amendment"
"water quality",1,"http://localhost:4000/JRWA-Archive/browse.html#water%20quality"
"fish: salmon",1,"http://localhost:4000/JRWA-Archive/browse.html#fish:%20salmon"
"side channel",1,"http://localhost:4000/JRWA-Archive/browse.html#side%20channel"
"monitoring",1,"http://localhost:4000/JRWA-Archive/browse.html#monitoring"
"reclamation",1,"http://localhost:4000/JRWA-Archive/browse.html#reclamation"
"rayonier canada",1,"http://localhost:4000/JRWA-Archive/browse.html#rayonier%20canada"
"b.c forest products",1,"http://localhost:4000/JRWA-Archive/browse.html#b.c%20forest%20products"
"historical review",1,"http://localhost:4000/JRWA-Archive/browse.html#historical%20review"
"taxpayers",1,"http://localhost:4000/JRWA-Archive/browse.html#taxpayers"
"teck",1,"http://localhost:4000/JRWA-Archive/browse.html#teck"
"forest economics",1,"http://localhost:4000/JRWA-Archive/browse.html#forest%20economics"
"forest management",1,"http://localhost:4000/JRWA-Archive/browse.html#forest%20management"
"activism",1,"http://localhost:4000/JRWA-Archive/browse.html#activism"
"world war ii",1,"http://localhost:4000/JRWA-Archive/browse.html#world%20war%20ii"
"energy development",1,"http://localhost:4000/JRWA-Archive/browse.html#energy%20development"
"hydroelectric development",1,"http://localhost:4000/JRWA-Archive/browse.html#hydroelectric%20development"
"watershed alienation",1,"http://localhost:4000/JRWA-Archive/browse.html#watershed%20alienation"
"sales",1,"http://localhost:4000/JRWA-Archive/browse.html#sales"
"mineralogy",1,"http://localhost:4000/JRWA-Archive/browse.html#mineralogy"
"pipeline",1,"http://localhost:4000/JRWA-Archive/browse.html#pipeline"
"british columbia hydro and power authority",1,"http://localhost:4000/JRWA-Archive/browse.html#british%20columbia%20hydro%20and%20power%20authority"
"speech",1,"http://localhost:4000/JRWA-Archive/browse.html#speech"
