identifier ,parentid,objectid,object_location,title,creator,publisher,date,date-is-approximate?,format,type,display_template,subject,description,image_small,image_thumb,image_alt_text
daily_colonist_1968_07_07_pioneers_of_jr_hydro,,jrnph1940-69_004,/objects/daily_colonist_1968_07_07_pioneers_of_jr_hydro.pdf,Pioneers of Jordan River Hydro Had Courage to Dream and Dare,Patricia Skowaisa,The Daily Colonist,1968-07-07,,application/pdf,news article,pdf,Settlement; Enterprise; Colonialism; Exploitation; Hydroelectric,"""The Jordan River powerhouse it a record of
vision, enterprise, organisation and engineering -a lasting monument to a handful of men who in the early 1900s realised the potential of an almost entirely unknown mountain stream.""",/objects/small/daily_colonist_1968_07_07_pioneers_of_jr_hydro_sm.jpg,/objects/thumbs/daily_colonist_1968_07_07_pioneers_of_jr_hydro_th.jpg,
daily_colonist_1969_05_11_hydro_project_hums,,jrnph1940-69_006,/objects/daily_colonist_1969_05_11_hydro_project_hums.pdf,Hydro Project Hums,Clement Chapple,The Daily Colonist,1969-05-11,,application/pdf,news article,pdf,Mining; Hydroelectric; Settlement; B.C. Hydro,,/objects/small/daily_colonist_1969_05_11_hydro_project_hums_sm.jpg,/objects/thumbs/daily_colonist_1969_05_11_hydro_project_hums_th.jpg,
daily_colonist_november_5_1964_island_to_double_share_of_mainland_power,,jrnph1940-69_007,/objects/daily_colonist_november_5_1964_island_to_double_share_of_mainland_power.pdf,Island to Double Share of Mainland Power,Ian Street,The Daily Colonist,1964-11-05,,application/pdf,news article,pdf,Hydroelectric; B.C. Hydro,,/objects/small/daily_colonist_november_5_1964_island_to_double_share_of_mainland_power_sm.jpg,/objects/thumbs/daily_colonist_november_5_1964_island_to_double_share_of_mainland_power_th.jpg,
dc_1968_dams_and_wildlife,,jrnph1940-69_008,/objects/dc_1968_dams_and_wildlife.pdf,Dams and Wildlife,Arnold Olson,The Daily Colonist,1968,,application/pdf,news article,pdf,Hydroelectric; B.C. Hydro; Salmon; Fish; Ecosystem,,/objects/small/dc_1968_dams_and_wildlife_sm.jpg,/objects/thumbs/dc_1968_dams_and_wildlife_th.jpg,
dc_1969_new_power_system_underway_jr_enters_forth_boom,,jrnph1940-69_012,/objects/dc_1969_new_power_system_underway_jr_enters_forth_boom.pdf,Jordan River Enters Fourth Boom,Harry Young,The Daily Colonist,1969-11-02,,application/pdf,news article,pdf,Logging; Hydroelectric; Tunnel,,/objects/small/dc_1969_new_power_system_underway_jr_enters_forth_boom_sm.jpg,/objects/thumbs/dc_1969_new_power_system_underway_jr_enters_forth_boom_th.jpg,
marriman_1968_impact_of_jr_tailrace_closure_outdoors_columin_in_dc,,jrnph1940-69_014,/objects/marriman_1968_impact_of_jr_tailrace_closure_outdoors_columin_in_dc.pdf,Sooke River Showing Growth in Spawning,Aec Merriman,The Daily Colonist,1968-10-27,,application/pdf,news article,pdf,Salmon; Hydroelectric,,/objects/small/marriman_1968_impact_of_jr_tailrace_closure_outdoors_columin_in_dc_sm.jpg,/objects/thumbs/marriman_1968_impact_of_jr_tailrace_closure_outdoors_columin_in_dc_th.jpg,
the_hope_standard_wed_aug_20__1969_,,jrnph1940-69_015,/objects/the_hope_standard_wed_aug_20__1969_.pdf,E. Anderson Wins $9.5 Million Job,The Hope Standard,The Hope Standard,1969-08-20,,application/pdf,news article,pdf,Hydroelectric; Dam Construction,,/objects/small/the_hope_standard_wed_aug_20__1969__sm.jpg,/objects/thumbs/the_hope_standard_wed_aug_20__1969__th.jpg,
times_colonist_thu_aug_14_1969_,,jrnph1940-69_016,/objects/times_colonist_thu_aug_14_1969_.pdf,Dam Job Awarded For Jordan R. ,Times Colonist,Times Colonist,1969-08-14,,application/pdf,news article,pdf,Hydroelectric; Dam Construction,,/objects/small/times_colonist_thu_aug_14_1969__sm.jpg,/objects/thumbs/times_colonist_thu_aug_14_1969__th.jpg,
vdt_1943_lack_of_rain_threatens_power_shortage,,jrnph1940-69_017,/objects/vdt_1943_lack_of_rain_threatens_power_shortage.pdf,Lack of Rain Threatens Power Shortage Here,Victoria Daily Times,Victoria Daily Times,1943-10-08,,application/pdf,news article,pdf,"Hydroelectric; Dam, WW2",,/objects/small/vdt_1943_lack_of_rain_threatens_power_shortage_sm.jpg,/objects/thumbs/vdt_1943_lack_of_rain_threatens_power_shortage_th.jpg,
,,,,,,,,,,,,,,,,
